"","Entrez","Pathway","SYMBOL"
"mmu04612 Antigen processing and presentation46","15043","Antigen processing and presentation","H2-T3"
"mmu04612 Antigen processing and presentation47","15051","Antigen processing and presentation","H2-T9"
"mmu04612 Antigen processing and presentation48","15481","Antigen processing and presentation","Hspa8"
"mmu04612 Antigen processing and presentation49","15482","Antigen processing and presentation","Hspa1l"
"mmu04612 Antigen processing and presentation50","15511","Antigen processing and presentation","Hspa1b"
"mmu04612 Antigen processing and presentation51","15512","Antigen processing and presentation","Hspa2"
"mmu04612 Antigen processing and presentation52","15516","Antigen processing and presentation","Hsp90ab1"
"mmu04612 Antigen processing and presentation53","15519","Antigen processing and presentation","Hsp90aa1"
"mmu04612 Antigen processing and presentation54","15525","Antigen processing and presentation","Hspa4"
"mmu04612 Antigen processing and presentation55","15978","Antigen processing and presentation","Ifng"
"mmu04612 Antigen processing and presentation56","16149","Antigen processing and presentation","Cd74"
"mmu04612 Antigen processing and presentation57","16641","Antigen processing and presentation","Klrc1"
"mmu04612 Antigen processing and presentation58","16643","Antigen processing and presentation","Klrd1"
"mmu04612 Antigen processing and presentation59","170767","Antigen processing and presentation","Rfxap"
"mmu04612 Antigen processing and presentation60","18044","Antigen processing and presentation","Nfya"
"mmu04612 Antigen processing and presentation61","18045","Antigen processing and presentation","Nfyb"
"mmu04612 Antigen processing and presentation62","18046","Antigen processing and presentation","Nfyc"
"mmu04612 Antigen processing and presentation63","19141","Antigen processing and presentation","Lgmn"
"mmu04612 Antigen processing and presentation64","19186","Antigen processing and presentation","Psme1"
"mmu04612 Antigen processing and presentation65","19188","Antigen processing and presentation","Psme2"
"mmu04612 Antigen processing and presentation66","19192","Antigen processing and presentation","Psme3"
"mmu04612 Antigen processing and presentation67","193740","Antigen processing and presentation","Hspa1a"
"mmu04612 Antigen processing and presentation68","19727","Antigen processing and presentation","Rfxank"
"mmu04612 Antigen processing and presentation69","21354","Antigen processing and presentation","Tap1"
"mmu04612 Antigen processing and presentation70","21355","Antigen processing and presentation","Tap2"
"mmu04612 Antigen processing and presentation71","21356","Antigen processing and presentation","Tapbp"
"mmu04612 Antigen processing and presentation72","21926","Antigen processing and presentation","Tnf"
"mmu04612 Antigen processing and presentation73","224753","Antigen processing and presentation","H2-M10.4"
"mmu04612 Antigen processing and presentation74","224754","Antigen processing and presentation","H2-M11"
"mmu04612 Antigen processing and presentation75","224756","Antigen processing and presentation","H2-M1"
"mmu04612 Antigen processing and presentation76","224761","Antigen processing and presentation","H2-M10.5"
"mmu04612 Antigen processing and presentation77","240095","Antigen processing and presentation","H2-M5"
"mmu04612 Antigen processing and presentation78","245615","Antigen processing and presentation","Kir3dl2"
"mmu04612 Antigen processing and presentation79","245616","Antigen processing and presentation","Kir3dl1"
"mmu04612 Antigen processing and presentation80","333715","Antigen processing and presentation","H2-M10.2"
"mmu04612 Antigen processing and presentation81","381091","Antigen processing and presentation","H2-Eb2"
"mmu04612 Antigen processing and presentation82","399549","Antigen processing and presentation","H2-M10.6"
"mmu04612 Antigen processing and presentation83","53970","Antigen processing and presentation","Rfx5"
"mmu04612 Antigen processing and presentation84","547349","Antigen processing and presentation","LOC547349"
"mmu04612 Antigen processing and presentation85","621823","Antigen processing and presentation","Psme2b"
"mmu04612 Antigen processing and presentation86","630294","Antigen processing and presentation","Gm7030"
"mmu04612 Antigen processing and presentation87","65972","Antigen processing and presentation","Ifi30"
"mmu04612 Antigen processing and presentation88","667803","Antigen processing and presentation","H2-T-ps"
"mmu04612 Antigen processing and presentation89","667977","Antigen processing and presentation","Gm8909"
"mmu04612 Antigen processing and presentation90","69717","Antigen processing and presentation","Gm10499"
"mmu04660 T cell receptor signaling pathway1","108723","T cell receptor signaling pathway","Card11"
"mmu04660 T cell receptor signaling pathway2","110157","T cell receptor signaling pathway","Raf1"
"mmu04660 T cell receptor signaling pathway3","11651","T cell receptor signaling pathway","Akt1"
"mmu04660 T cell receptor signaling pathway4","11652","T cell receptor signaling pathway","Akt2"
"mmu04660 T cell receptor signaling pathway5","11848","T cell receptor signaling pathway","Rhoa"
"mmu04660 T cell receptor signaling pathway6","12042","T cell receptor signaling pathway","Bcl10"
"mmu04660 T cell receptor signaling pathway7","12477","T cell receptor signaling pathway","Ctla4"
"mmu04660 T cell receptor signaling pathway8","12487","T cell receptor signaling pathway","Cd28"
"mmu04660 T cell receptor signaling pathway9","12500","T cell receptor signaling pathway","Cd3d"
"mmu04660 T cell receptor signaling pathway10","12501","T cell receptor signaling pathway","Cd3e"
"mmu04660 T cell receptor signaling pathway11","12502","T cell receptor signaling pathway","Cd3g"
"mmu04660 T cell receptor signaling pathway12","12503","T cell receptor signaling pathway","Cd247"
"mmu04660 T cell receptor signaling pathway13","12504","T cell receptor signaling pathway","Cd4"
"mmu04660 T cell receptor signaling pathway14","12525","T cell receptor signaling pathway","Cd8a"
"mmu04660 T cell receptor signaling pathway15","12526","T cell receptor signaling pathway","Cd8b1"
"mmu04660 T cell receptor signaling pathway16","12540","T cell receptor signaling pathway","Cdc42"
"mmu04660 T cell receptor signaling pathway17","12567","T cell receptor signaling pathway","Cdk4"
"mmu04660 T cell receptor signaling pathway18","12675","T cell receptor signaling pathway","Chuk"
"mmu04660 T cell receptor signaling pathway19","12981","T cell receptor signaling pathway","Csf2"
"mmu04660 T cell receptor signaling pathway20","13383","T cell receptor signaling pathway","Dlg1"
"mmu04660 T cell receptor signaling pathway21","14281","T cell receptor signaling pathway","Fos"
"mmu04660 T cell receptor signaling pathway22","14360","T cell receptor signaling pathway","Fyn"
"mmu04660 T cell receptor signaling pathway23","14784","T cell receptor signaling pathway","Grb2"
"mmu04660 T cell receptor signaling pathway24","15170","T cell receptor signaling pathway","Ptpn6"
"mmu04660 T cell receptor signaling pathway25","15461","T cell receptor signaling pathway","Hras"
"mmu04660 T cell receptor signaling pathway26","15978","T cell receptor signaling pathway","Ifng"
"mmu04660 T cell receptor signaling pathway27","16150","T cell receptor signaling pathway","Ikbkb"
"mmu04660 T cell receptor signaling pathway28","16151","T cell receptor signaling pathway","Ikbkg"
"mmu04660 T cell receptor signaling pathway29","16153","T cell receptor signaling pathway","Il10"
"mmu04660 T cell receptor signaling pathway30","16183","T cell receptor signaling pathway","Il2"
"mmu04660 T cell receptor signaling pathway31","16189","T cell receptor signaling pathway","Il4"
"mmu04660 T cell receptor signaling pathway32","16191","T cell receptor signaling pathway","Il5"
"mmu04660 T cell receptor signaling pathway33","16428","T cell receptor signaling pathway","Itk"
"mmu04660 T cell receptor signaling pathway34","16476","T cell receptor signaling pathway","Jun"
"mmu04660 T cell receptor signaling pathway35","16653","T cell receptor signaling pathway","Kras"
"mmu04660 T cell receptor signaling pathway36","16797","T cell receptor signaling pathway","Lat"
"mmu04660 T cell receptor signaling pathway37","16818","T cell receptor signaling pathway","Lck"
"mmu04660 T cell receptor signaling pathway38","16822","T cell receptor signaling pathway","Lcp2"
"mmu04660 T cell receptor signaling pathway39","17444","T cell receptor signaling pathway","Grap2"
"mmu04660 T cell receptor signaling pathway40","17973","T cell receptor signaling pathway","Nck1"
"mmu04660 T cell receptor signaling pathway41","17974","T cell receptor signaling pathway","Nck2"
"mmu04660 T cell receptor signaling pathway42","18018","T cell receptor signaling pathway","Nfatc1"
"mmu04660 T cell receptor signaling pathway43","18019","T cell receptor signaling pathway","Nfatc2"
"mmu04660 T cell receptor signaling pathway44","18021","T cell receptor signaling pathway","Nfatc3"
"mmu04660 T cell receptor signaling pathway45","18033","T cell receptor signaling pathway","Nfkb1"
"mmu04660 T cell receptor signaling pathway46","18035","T cell receptor signaling pathway","Nfkbia"
"mmu04660 T cell receptor signaling pathway47","18036","T cell receptor signaling pathway","Nfkbib"
"mmu04660 T cell receptor signaling pathway48","18037","T cell receptor signaling pathway","Nfkbie"
"mmu04660 T cell receptor signaling pathway49","18176","T cell receptor signaling pathway","Nras"
"mmu04660 T cell receptor signaling pathway50","18479","T cell receptor signaling pathway","Pak1"
"mmu04660 T cell receptor signaling pathway51","18481","T cell receptor signaling pathway","Pak3"
"mmu04660 T cell receptor signaling pathway52","18566","T cell receptor signaling pathway","Pdcd1"
"mmu04660 T cell receptor signaling pathway53","18607","T cell receptor signaling pathway","Pdpk1"
"mmu04660 T cell receptor signaling pathway54","18706","T cell receptor signaling pathway","Pik3ca"
"mmu04660 T cell receptor signaling pathway55","18707","T cell receptor signaling pathway","Pik3cd"
"mmu04660 T cell receptor signaling pathway56","18708","T cell receptor signaling pathway","Pik3r1"
"mmu04660 T cell receptor signaling pathway57","18709","T cell receptor signaling pathway","Pik3r2"
"mmu04660 T cell receptor signaling pathway58","18710","T cell receptor signaling pathway","Pik3r3"
"mmu04660 T cell receptor signaling pathway59","18761","T cell receptor signaling pathway","Prkcq"
"mmu04660 T cell receptor signaling pathway60","18803","T cell receptor signaling pathway","Plcg1"
"mmu04660 T cell receptor signaling pathway61","19055","T cell receptor signaling pathway","Ppp3ca"
"mmu04660 T cell receptor signaling pathway62","19056","T cell receptor signaling pathway","Ppp3cb"
"mmu04660 T cell receptor signaling pathway63","19057","T cell receptor signaling pathway","Ppp3cc"
"mmu04660 T cell receptor signaling pathway64","19058","T cell receptor signaling pathway","Ppp3r1"
"mmu04660 T cell receptor signaling pathway65","19059","T cell receptor signaling pathway","Ppp3r2"
"mmu04660 T cell receptor signaling pathway66","19094","T cell receptor signaling pathway","Mapk11"
"mmu04660 T cell receptor signaling pathway67","19264","T cell receptor signaling pathway","Ptprc"
"mmu04660 T cell receptor signaling pathway68","19419","T cell receptor signaling pathway","Rasgrp1"
"mmu04660 T cell receptor signaling pathway69","19697","T cell receptor signaling pathway","Rela"
"mmu04660 T cell receptor signaling pathway70","20662","T cell receptor signaling pathway","Sos1"
"mmu04660 T cell receptor signaling pathway71","20663","T cell receptor signaling pathway","Sos2"
"mmu04660 T cell receptor signaling pathway72","208650","T cell receptor signaling pathway","Cblb"
"mmu04660 T cell receptor signaling pathway73","214230","T cell receptor signaling pathway","Pak6"
"mmu04660 T cell receptor signaling pathway74","21682","T cell receptor signaling pathway","Tec"
"mmu04660 T cell receptor signaling pathway75","21926","T cell receptor signaling pathway","Tnf"
"mmu04660 T cell receptor signaling pathway76","21947","T cell receptor signaling pathway","Cd40lg"
"mmu04660 T cell receptor signaling pathway77","22324","T cell receptor signaling pathway","Vav1"
"mmu04660 T cell receptor signaling pathway78","22325","T cell receptor signaling pathway","Vav2"
"mmu04660 T cell receptor signaling pathway79","224105","T cell receptor signaling pathway","Pak2"
"mmu04660 T cell receptor signaling pathway80","22637","T cell receptor signaling pathway","Zap70"
"mmu04660 T cell receptor signaling pathway81","23797","T cell receptor signaling pathway","Akt3"
"mmu04660 T cell receptor signaling pathway82","240354","T cell receptor signaling pathway","Malt1"
"mmu04660 T cell receptor signaling pathway83","241656","T cell receptor signaling pathway","Pak5"
"mmu04660 T cell receptor signaling pathway84","26395","T cell receptor signaling pathway","Map2k1"
"mmu04660 T cell receptor signaling pathway85","26396","T cell receptor signaling pathway","Map2k2"
"mmu04660 T cell receptor signaling pathway86","26400","T cell receptor signaling pathway","Map2k7"
"mmu04660 T cell receptor signaling pathway87","26409","T cell receptor signaling pathway","Map3k7"
"mmu04660 T cell receptor signaling pathway88","26410","T cell receptor signaling pathway","Map3k8"
"mmu04660 T cell receptor signaling pathway89","26413","T cell receptor signaling pathway","Mapk1"
"mmu04660 T cell receptor signaling pathway90","26414","T cell receptor signaling pathway","Mapk10"
"mmu04660 T cell receptor signaling pathway91","26415","T cell receptor signaling pathway","Mapk13"
"mmu04660 T cell receptor signaling pathway92","26416","T cell receptor signaling pathway","Mapk14"
"mmu04660 T cell receptor signaling pathway93","26417","T cell receptor signaling pathway","Mapk3"
"mmu04660 T cell receptor signaling pathway94","26419","T cell receptor signaling pathway","Mapk8"
"mmu04660 T cell receptor signaling pathway95","26420","T cell receptor signaling pathway","Mapk9"
"mmu04660 T cell receptor signaling pathway96","29857","T cell receptor signaling pathway","Mapk12"
"mmu04660 T cell receptor signaling pathway97","53859","T cell receptor signaling pathway","Map3k14"
"mmu04660 T cell receptor signaling pathway98","54167","T cell receptor signaling pathway","Icos"
"mmu04660 T cell receptor signaling pathway99","56637","T cell receptor signaling pathway","Gsk3b"
"mmu04660 T cell receptor signaling pathway100","57257","T cell receptor signaling pathway","Vav3"
"mmu04660 T cell receptor signaling pathway101","67653","T cell receptor signaling pathway","4930544G11Rik"
"mmu04660 T cell receptor signaling pathway102","70584","T cell receptor signaling pathway","Pak4"
"mmu04660 T cell receptor signaling pathway103","74769","T cell receptor signaling pathway","Pik3cb"
"mmu04658 Th1 and Th2 cell differentiation1","100504404","Th1 and Th2 cell differentiation","H2-Ea"
"mmu04658 Th1 and Th2 cell differentiation2","103806","Th1 and Th2 cell differentiation","Maml1"
"mmu04658 Th1 and Th2 cell differentiation3","12399","Th1 and Th2 cell differentiation","Runx3"
"mmu04658 Th1 and Th2 cell differentiation4","12500","Th1 and Th2 cell differentiation","Cd3d"
"mmu04658 Th1 and Th2 cell differentiation5","12501","Th1 and Th2 cell differentiation","Cd3e"
"mmu04658 Th1 and Th2 cell differentiation6","12502","Th1 and Th2 cell differentiation","Cd3g"
"mmu04658 Th1 and Th2 cell differentiation7","12503","Th1 and Th2 cell differentiation","Cd247"
"mmu04658 Th1 and Th2 cell differentiation8","12504","Th1 and Th2 cell differentiation","Cd4"
"mmu04658 Th1 and Th2 cell differentiation9","12675","Th1 and Th2 cell differentiation","Chuk"
"mmu04658 Th1 and Th2 cell differentiation10","13388","Th1 and Th2 cell differentiation","Dll1"
"mmu04658 Th1 and Th2 cell differentiation11","13389","Th1 and Th2 cell differentiation","Dll3"
"mmu04658 Th1 and Th2 cell differentiation12","14281","Th1 and Th2 cell differentiation","Fos"
"mmu04658 Th1 and Th2 cell differentiation13","14462","Th1 and Th2 cell differentiation","Gata3"
"mmu04658 Th1 and Th2 cell differentiation14","14960","Th1 and Th2 cell differentiation","H2-Aa"
"mmu04658 Th1 and Th2 cell differentiation15","14961","Th1 and Th2 cell differentiation","H2-Ab1"
"mmu04658 Th1 and Th2 cell differentiation16","14969","Th1 and Th2 cell differentiation","H2-Eb1"
"mmu04658 Th1 and Th2 cell differentiation17","14998","Th1 and Th2 cell differentiation","H2-DMa"
"mmu04658 Th1 and Th2 cell differentiation18","14999","Th1 and Th2 cell differentiation","H2-DMb1"
"mmu04658 Th1 and Th2 cell differentiation19","15000","Th1 and Th2 cell differentiation","H2-DMb2"
"mmu04658 Th1 and Th2 cell differentiation20","15001","Th1 and Th2 cell differentiation","H2-Oa"
"mmu04658 Th1 and Th2 cell differentiation21","15002","Th1 and Th2 cell differentiation","H2-Ob"
"mmu04658 Th1 and Th2 cell differentiation22","15978","Th1 and Th2 cell differentiation","Ifng"
"mmu04658 Th1 and Th2 cell differentiation23","15979","Th1 and Th2 cell differentiation","Ifngr1"
"mmu04658 Th1 and Th2 cell differentiation24","15980","Th1 and Th2 cell differentiation","Ifngr2"
"mmu04658 Th1 and Th2 cell differentiation25","16150","Th1 and Th2 cell differentiation","Ikbkb"
"mmu04658 Th1 and Th2 cell differentiation26","16151","Th1 and Th2 cell differentiation","Ikbkg"
"mmu04658 Th1 and Th2 cell differentiation27","16159","Th1 and Th2 cell differentiation","Il12a"
"mmu04658 Th1 and Th2 cell differentiation28","16160","Th1 and Th2 cell differentiation","Il12b"
"mmu04658 Th1 and Th2 cell differentiation29","16161","Th1 and Th2 cell differentiation","Il12rb1"
"mmu04658 Th1 and Th2 cell differentiation30","16162","Th1 and Th2 cell differentiation","Il12rb2"
"mmu04658 Th1 and Th2 cell differentiation31","16163","Th1 and Th2 cell differentiation","Il13"
"mmu04658 Th1 and Th2 cell differentiation32","16183","Th1 and Th2 cell differentiation","Il2"
"mmu04658 Th1 and Th2 cell differentiation33","16184","Th1 and Th2 cell differentiation","Il2ra"
"mmu04658 Th1 and Th2 cell differentiation34","16185","Th1 and Th2 cell differentiation","Il2rb"
"mmu04658 Th1 and Th2 cell differentiation35","16186","Th1 and Th2 cell differentiation","Il2rg"
"mmu04658 Th1 and Th2 cell differentiation36","16189","Th1 and Th2 cell differentiation","Il4"
"mmu04658 Th1 and Th2 cell differentiation37","16190","Th1 and Th2 cell differentiation","Il4ra"
"mmu04658 Th1 and Th2 cell differentiation38","16191","Th1 and Th2 cell differentiation","Il5"
"mmu04658 Th1 and Th2 cell differentiation39","16449","Th1 and Th2 cell differentiation","Jag1"
"mmu04658 Th1 and Th2 cell differentiation40","16450","Th1 and Th2 cell differentiation","Jag2"
"mmu04658 Th1 and Th2 cell differentiation41","16451","Th1 and Th2 cell differentiation","Jak1"
"mmu04658 Th1 and Th2 cell differentiation42","16452","Th1 and Th2 cell differentiation","Jak2"
"mmu04658 Th1 and Th2 cell differentiation43","16453","Th1 and Th2 cell differentiation","Jak3"
"mmu04658 Th1 and Th2 cell differentiation44","16476","Th1 and Th2 cell differentiation","Jun"
"mmu04658 Th1 and Th2 cell differentiation45","16797","Th1 and Th2 cell differentiation","Lat"
"mmu04658 Th1 and Th2 cell differentiation46","16818","Th1 and Th2 cell differentiation","Lck"
"mmu04658 Th1 and Th2 cell differentiation47","17132","Th1 and Th2 cell differentiation","Maf"
"mmu04658 Th1 and Th2 cell differentiation48","18018","Th1 and Th2 cell differentiation","Nfatc1"
"mmu04658 Th1 and Th2 cell differentiation49","18019","Th1 and Th2 cell differentiation","Nfatc2"
"mmu04658 Th1 and Th2 cell differentiation50","18021","Th1 and Th2 cell differentiation","Nfatc3"
"mmu04658 Th1 and Th2 cell differentiation51","18033","Th1 and Th2 cell differentiation","Nfkb1"
"mmu04658 Th1 and Th2 cell differentiation52","18035","Th1 and Th2 cell differentiation","Nfkbia"
"mmu04658 Th1 and Th2 cell differentiation53","18036","Th1 and Th2 cell differentiation","Nfkbib"
"mmu04658 Th1 and Th2 cell differentiation54","18037","Th1 and Th2 cell differentiation","Nfkbie"
"mmu04658 Th1 and Th2 cell differentiation55","18128","Th1 and Th2 cell differentiation","Notch1"
"mmu04658 Th1 and Th2 cell differentiation56","18129","Th1 and Th2 cell differentiation","Notch2"
"mmu04658 Th1 and Th2 cell differentiation57","18131","Th1 and Th2 cell differentiation","Notch3"
"mmu04658 Th1 and Th2 cell differentiation58","18761","Th1 and Th2 cell differentiation","Prkcq"
"mmu04658 Th1 and Th2 cell differentiation59","18803","Th1 and Th2 cell differentiation","Plcg1"
"mmu04658 Th1 and Th2 cell differentiation60","19055","Th1 and Th2 cell differentiation","Ppp3ca"
"mmu04658 Th1 and Th2 cell differentiation61","19056","Th1 and Th2 cell differentiation","Ppp3cb"
"mmu04658 Th1 and Th2 cell differentiation62","19057","Th1 and Th2 cell differentiation","Ppp3cc"
"mmu04658 Th1 and Th2 cell differentiation63","19058","Th1 and Th2 cell differentiation","Ppp3r1"
"mmu04658 Th1 and Th2 cell differentiation64","19059","Th1 and Th2 cell differentiation","Ppp3r2"
"mmu04658 Th1 and Th2 cell differentiation65","19094","Th1 and Th2 cell differentiation","Mapk11"
"mmu04658 Th1 and Th2 cell differentiation66","19664","Th1 and Th2 cell differentiation","Rbpj"
"mmu04658 Th1 and Th2 cell differentiation67","19668","Th1 and Th2 cell differentiation","Rbpjl"
"mmu04658 Th1 and Th2 cell differentiation68","19697","Th1 and Th2 cell differentiation","Rela"
"mmu04658 Th1 and Th2 cell differentiation69","20846","Th1 and Th2 cell differentiation","Stat1"
"mmu04658 Th1 and Th2 cell differentiation70","20849","Th1 and Th2 cell differentiation","Stat4"
"mmu04658 Th1 and Th2 cell differentiation71","20850","Th1 and Th2 cell differentiation","Stat5a"
"mmu04658 Th1 and Th2 cell differentiation72","20851","Th1 and Th2 cell differentiation","Stat5b"
"mmu04658 Th1 and Th2 cell differentiation73","20852","Th1 and Th2 cell differentiation","Stat6"
"mmu04658 Th1 and Th2 cell differentiation74","22637","Th1 and Th2 cell differentiation","Zap70"
"mmu04658 Th1 and Th2 cell differentiation75","26413","Th1 and Th2 cell differentiation","Mapk1"
"mmu04658 Th1 and Th2 cell differentiation76","26414","Th1 and Th2 cell differentiation","Mapk10"
"mmu04658 Th1 and Th2 cell differentiation77","26415","Th1 and Th2 cell differentiation","Mapk13"
"mmu04658 Th1 and Th2 cell differentiation78","26416","Th1 and Th2 cell differentiation","Mapk14"
"mmu04658 Th1 and Th2 cell differentiation79","26417","Th1 and Th2 cell differentiation","Mapk3"
"mmu04658 Th1 and Th2 cell differentiation80","26419","Th1 and Th2 cell differentiation","Mapk8"
"mmu04658 Th1 and Th2 cell differentiation81","26420","Th1 and Th2 cell differentiation","Mapk9"
"mmu04658 Th1 and Th2 cell differentiation82","270118","Th1 and Th2 cell differentiation","Maml2"
"mmu04658 Th1 and Th2 cell differentiation83","29857","Th1 and Th2 cell differentiation","Mapk12"
"mmu04658 Th1 and Th2 cell differentiation84","381091","Th1 and Th2 cell differentiation","H2-Eb2"
"mmu04658 Th1 and Th2 cell differentiation85","433586","Th1 and Th2 cell differentiation","Maml3"
"mmu04658 Th1 and Th2 cell differentiation86","54485","Th1 and Th2 cell differentiation","Dll4"
"mmu04658 Th1 and Th2 cell differentiation87","54721","Th1 and Th2 cell differentiation","Tyk2"
"mmu04658 Th1 and Th2 cell differentiation88","57765","Th1 and Th2 cell differentiation","Tbx21"
"mmu04659 Th17 cell differentiation1","100504404","Th17 cell differentiation","H2-Ea"
"mmu04659 Th17 cell differentiation2","11622","Th17 cell differentiation","Ahr"
"mmu04659 Th17 cell differentiation3","116849","Th17 cell differentiation","Iltifb"
"mmu04659 Th17 cell differentiation4","12394","Th17 cell differentiation","Runx1"
"mmu04659 Th17 cell differentiation5","12500","Th17 cell differentiation","Cd3d"
"mmu04659 Th17 cell differentiation6","12501","Th17 cell differentiation","Cd3e"
"mmu04659 Th17 cell differentiation7","12502","Th17 cell differentiation","Cd3g"
"mmu04659 Th17 cell differentiation8","12503","Th17 cell differentiation","Cd247"
"mmu04659 Th17 cell differentiation9","12504","Th17 cell differentiation","Cd4"
"mmu04659 Th17 cell differentiation10","12675","Th17 cell differentiation","Chuk"
"mmu04659 Th17 cell differentiation11","14281","Th17 cell differentiation","Fos"
"mmu04659 Th17 cell differentiation12","14462","Th17 cell differentiation","Gata3"
"mmu04659 Th17 cell differentiation13","14960","Th17 cell differentiation","H2-Aa"
"mmu04659 Th17 cell differentiation14","14961","Th17 cell differentiation","H2-Ab1"
"mmu04659 Th17 cell differentiation15","14969","Th17 cell differentiation","H2-Eb1"
"mmu04659 Th17 cell differentiation16","14998","Th17 cell differentiation","H2-DMa"
"mmu04659 Th17 cell differentiation17","14999","Th17 cell differentiation","H2-DMb1"
"mmu04659 Th17 cell differentiation18","15000","Th17 cell differentiation","H2-DMb2"
"mmu04659 Th17 cell differentiation19","15001","Th17 cell differentiation","H2-Oa"
"mmu04659 Th17 cell differentiation20","15002","Th17 cell differentiation","H2-Ob"
"mmu04659 Th17 cell differentiation21","15251","Th17 cell differentiation","Hif1a"
"mmu04659 Th17 cell differentiation22","15516","Th17 cell differentiation","Hsp90ab1"
"mmu04659 Th17 cell differentiation23","15519","Th17 cell differentiation","Hsp90aa1"
"mmu04659 Th17 cell differentiation24","15978","Th17 cell differentiation","Ifng"
"mmu04659 Th17 cell differentiation25","15979","Th17 cell differentiation","Ifngr1"
"mmu04659 Th17 cell differentiation26","15980","Th17 cell differentiation","Ifngr2"
"mmu04659 Th17 cell differentiation27","16150","Th17 cell differentiation","Ikbkb"
"mmu04659 Th17 cell differentiation28","16151","Th17 cell differentiation","Ikbkg"
"mmu04659 Th17 cell differentiation29","16161","Th17 cell differentiation","Il12rb1"
"mmu04659 Th17 cell differentiation30","16171","Th17 cell differentiation","Il17a"
"mmu04659 Th17 cell differentiation31","16176","Th17 cell differentiation","Il1b"
"mmu04659 Th17 cell differentiation32","16177","Th17 cell differentiation","Il1r1"
"mmu04659 Th17 cell differentiation33","16180","Th17 cell differentiation","Il1rap"
"mmu04659 Th17 cell differentiation34","16183","Th17 cell differentiation","Il2"
"mmu04659 Th17 cell differentiation35","16184","Th17 cell differentiation","Il2ra"
"mmu04659 Th17 cell differentiation36","16185","Th17 cell differentiation","Il2rb"
"mmu04659 Th17 cell differentiation37","16186","Th17 cell differentiation","Il2rg"
"mmu04659 Th17 cell differentiation38","16189","Th17 cell differentiation","Il4"
"mmu04659 Th17 cell differentiation39","16190","Th17 cell differentiation","Il4ra"
"mmu04659 Th17 cell differentiation40","16193","Th17 cell differentiation","Il6"
"mmu04659 Th17 cell differentiation41","16194","Th17 cell differentiation","Il6ra"
"mmu04659 Th17 cell differentiation42","16195","Th17 cell differentiation","Il6st"
"mmu04659 Th17 cell differentiation43","16364","Th17 cell differentiation","Irf4"
"mmu04659 Th17 cell differentiation44","16451","Th17 cell differentiation","Jak1"
"mmu04659 Th17 cell differentiation45","16452","Th17 cell differentiation","Jak2"
"mmu04659 Th17 cell differentiation46","16453","Th17 cell differentiation","Jak3"
"mmu04659 Th17 cell differentiation47","16476","Th17 cell differentiation","Jun"
"mmu04659 Th17 cell differentiation48","16797","Th17 cell differentiation","Lat"
"mmu04659 Th17 cell differentiation49","16818","Th17 cell differentiation","Lck"
"mmu04659 Th17 cell differentiation50","17126","Th17 cell differentiation","Smad2"
"mmu04659 Th17 cell differentiation51","17127","Th17 cell differentiation","Smad3"
"mmu04659 Th17 cell differentiation52","17128","Th17 cell differentiation","Smad4"
"mmu04659 Th17 cell differentiation53","18018","Th17 cell differentiation","Nfatc1"
"mmu04659 Th17 cell differentiation54","18019","Th17 cell differentiation","Nfatc2"
"mmu04659 Th17 cell differentiation55","18021","Th17 cell differentiation","Nfatc3"
"mmu04659 Th17 cell differentiation56","18033","Th17 cell differentiation","Nfkb1"
"mmu04659 Th17 cell differentiation57","18035","Th17 cell differentiation","Nfkbia"
"mmu04659 Th17 cell differentiation58","18036","Th17 cell differentiation","Nfkbib"
"mmu04659 Th17 cell differentiation59","18037","Th17 cell differentiation","Nfkbie"
"mmu04659 Th17 cell differentiation60","18761","Th17 cell differentiation","Prkcq"
"mmu04659 Th17 cell differentiation61","18803","Th17 cell differentiation","Plcg1"
"mmu04659 Th17 cell differentiation62","19055","Th17 cell differentiation","Ppp3ca"
"mmu04659 Th17 cell differentiation63","19056","Th17 cell differentiation","Ppp3cb"
"mmu04659 Th17 cell differentiation64","19057","Th17 cell differentiation","Ppp3cc"
"mmu04659 Th17 cell differentiation65","19058","Th17 cell differentiation","Ppp3r1"
"mmu04659 Th17 cell differentiation66","19059","Th17 cell differentiation","Ppp3r2"
"mmu04659 Th17 cell differentiation67","19094","Th17 cell differentiation","Mapk11"
"mmu04659 Th17 cell differentiation68","19401","Th17 cell differentiation","Rara"
"mmu04659 Th17 cell differentiation69","19697","Th17 cell differentiation","Rela"
"mmu04659 Th17 cell differentiation70","19883","Th17 cell differentiation","Rora"
"mmu04659 Th17 cell differentiation71","19885","Th17 cell differentiation","Rorc"
"mmu04659 Th17 cell differentiation72","20181","Th17 cell differentiation","Rxra"
"mmu04659 Th17 cell differentiation73","20182","Th17 cell differentiation","Rxrb"
"mmu04659 Th17 cell differentiation74","20183","Th17 cell differentiation","Rxrg"
"mmu04659 Th17 cell differentiation75","20371","Th17 cell differentiation","Foxp3"
"mmu04659 Th17 cell differentiation76","20846","Th17 cell differentiation","Stat1"
"mmu04659 Th17 cell differentiation77","20848","Th17 cell differentiation","Stat3"
"mmu04659 Th17 cell differentiation78","20850","Th17 cell differentiation","Stat5a"
"mmu04659 Th17 cell differentiation79","20851","Th17 cell differentiation","Stat5b"
"mmu04659 Th17 cell differentiation80","20852","Th17 cell differentiation","Stat6"
"mmu04659 Th17 cell differentiation81","209590","Th17 cell differentiation","Il23r"
